date,city,pm25_rome,no2_rome
2022-12-31,Rome,29.5,33.05
2023-01-01,Rome,30.0,44.05
2023-01-02,Rome,30.0,46.1
2023-01-03,Rome,24.0,44.8
2023-01-04,Rome,30.0,39.849999999999994
2023-01-05,Rome,31.5,41.15
2023-01-06,Rome,23.0,44.55
2023-01-07,Rome,4.0,
2023-01-08,Rome,,28.35
2023-01-15,Rome,3.0,17.95
2023-01-16,Rome,6.0,19.5
2023-01-17,Rome,9.5,36.35
2023-01-18,Rome,10.5,42.3
2023-01-19,Rome,8.5,39.95
2023-01-20,Rome,16.5,19.2
2023-01-21,Rome,,28.0
2023-01-22,Rome,23.0,44.849999999999994
2023-01-23,Rome,9.5,48.599999999999994
2023-01-24,Rome,9.0,45.45
2023-01-25,Rome,9.5,30.35
2023-01-26,Rome,12.0,37.25
2023-01-27,Rome,14.0,36.2
2023-01-28,Rome,20.5,32.45
2023-01-29,Rome,25.5,43.75
2023-01-30,Rome,25.0,50.45
2023-01-31,Rome,22.5,60.45
2023-02-01,Rome,,56.0
2023-02-13,Rome,41.0,56.95
2023-02-14,Rome,44.5,63.55
2023-02-15,Rome,,73.5
2023-03-18,Rome,,24.4
2023-03-19,Rome,,32.2
2023-03-20,Rome,17.0,30.5
2023-03-21,Rome,17.0,39.55
2023-03-22,Rome,,58.5
2023-03-23,Rome,13.0,27.299999999999997
2023-03-24,Rome,9.0,25.0
2023-03-25,Rome,7.0,21.65
2023-03-26,Rome,7.5,27.8
2023-03-27,Rome,11.0,29.700000000000003
2023-03-28,Rome,11.0,38.95
2023-03-29,Rome,8.5,32.900000000000006
2023-03-30,Rome,6.0,24.8
2023-03-31,Rome,6.0,17.7
2023-04-01,Rome,4.0,23.95
2023-04-02,Rome,8.0,21.9
2023-04-03,Rome,11.0,24.8
2023-04-04,Rome,11.5,31.75
2023-04-05,Rome,12.5,28.75
2023-04-06,Rome,5.5,37.35
2023-04-07,Rome,9.5,24.700000000000003
2023-04-08,Rome,9.5,21.9
2023-04-09,Rome,10.0,13.75
2023-04-10,Rome,9.0,26.2
2023-04-11,Rome,4.5,30.799999999999997
2023-04-12,Rome,6.0,28.1
2023-04-13,Rome,9.0,41.9
2023-04-14,Rome,2.0,43.3
2023-04-15,Rome,6.0,14.95
2023-04-16,Rome,10.0,20.299999999999997
2023-04-17,Rome,9.5,33.6
2023-04-18,Rome,11.5,26.3
2023-04-19,Rome,10.5,25.700000000000003
2023-04-20,Rome,9.0,37.2
2023-04-21,Rome,,50.5
2023-04-22,Rome,,26.2
2023-04-23,Rome,,13.8
2023-04-25,Rome,7.5,22.45
2023-04-26,Rome,7.5,30.95
2023-04-27,Rome,9.5,32.15
2023-04-28,Rome,10.0,27.6
2023-04-29,Rome,7.0,21.1
2023-04-30,Rome,8.5,18.25
2023-05-01,Rome,8.0,24.549999999999997
2023-05-02,Rome,10.0,29.15
2023-05-03,Rome,12.5,23.9
2023-05-04,Rome,10.5,27.55
2023-05-05,Rome,7.5,25.450000000000003
2023-05-06,Rome,9.5,18.6
2023-05-07,Rome,10.5,32.2
2023-05-08,Rome,8.0,20.4
2023-05-09,Rome,5.5,22.5
2023-05-10,Rome,4.5,16.05
2023-05-11,Rome,5.5,20.2
2023-05-12,Rome,4.5,32.55
2023-05-13,Rome,2.5,13.05
2023-05-14,Rome,4.0,27.75
2023-05-15,Rome,4.0,19.35
2023-05-16,Rome,6.5,18.05
2023-05-17,Rome,7.5,29.95
2023-05-18,Rome,9.0,28.200000000000003
2023-05-19,Rome,7.0,31.7
2023-05-20,Rome,11.0,20.25
2023-05-21,Rome,11.0,33.15
2023-05-22,Rome,9.5,37.65
2023-05-23,Rome,11.5,30.049999999999997
2023-05-24,Rome,9.5,40.45
2023-05-25,Rome,10.0,32.4
2023-05-26,Rome,8.5,32.150000000000006
2023-05-27,Rome,7.5,23.35
2023-05-28,Rome,7.0,30.349999999999998
2023-05-29,Rome,7.5,34.25
2023-05-30,Rome,6.5,31.25
2023-05-31,Rome,10.5,28.65
2023-06-01,Rome,11.5,18.4
2023-06-02,Rome,9.5,17.8
2023-06-03,Rome,11.5,17.9
2023-06-04,Rome,9.5,24.1
2023-06-05,Rome,8.0,21.299999999999997
2023-06-06,Rome,8.5,22.6
2023-06-07,Rome,7.5,23.4
2023-06-08,Rome,7.5,23.9
2023-06-09,Rome,7.0,16.75
2023-06-10,Rome,5.5,18.35
2023-06-11,Rome,6.5,30.0
2023-06-12,Rome,6.0,39.45
2023-06-13,Rome,7.0,37.0
2023-06-14,Rome,10.5,33.1
2023-06-15,Rome,12.0,31.25
2023-06-16,Rome,13.0,31.200000000000003
2023-06-17,Rome,10.0,28.15
2023-06-18,Rome,13.5,36.2
2023-06-19,Rome,13.5,39.65
2023-06-20,Rome,14.5,41.2
2023-06-21,Rome,14.5,43.7
2023-06-22,Rome,9.0,29.35
2023-06-23,Rome,5.0,21.3
2023-06-24,Rome,10.0,20.3
2023-06-25,Rome,13.0,24.4
2023-06-26,Rome,12.0,28.25
2023-06-27,Rome,11.5,27.2
2023-06-28,Rome,12.0,18.25
2023-06-29,Rome,10.0,22.5
2023-06-30,Rome,9.0,24.3
2023-07-01,Rome,9.5,18.9
2023-07-02,Rome,10.5,20.5
2023-07-03,Rome,12.5,19.7
2023-07-04,Rome,9.5,22.55
2023-07-05,Rome,10.0,23.2
2023-07-06,Rome,14.5,32.9
2023-07-07,Rome,12.5,29.85
2023-07-08,Rome,13.25,24.9
2023-07-09,Rome,13.25,32.7
2023-07-10,Rome,12.5,36.6
2023-07-11,Rome,,57.15
2023-07-12,Rome,13.5,29.8
2023-07-13,Rome,14.5,25.3
2023-07-14,Rome,18.0,19.9
2023-07-15,Rome,13.0,50.05
2023-07-16,Rome,15.0,48.1
2023-07-17,Rome,13.5,45.85
2023-07-18,Rome,17.5,46.3
2023-07-19,Rome,15.5,16.2
2023-07-20,Rome,13.5,20.3
2023-07-21,Rome,12.5,6.5200000000000005
2023-07-22,Rome,13.0,15.8
2023-07-23,Rome,15.0,
2023-07-24,Rome,14.0,20.0
2023-07-25,Rome,6.0,7.76
2023-07-26,Rome,9.5,13.4
2023-07-27,Rome,7.5,18.6
2023-07-28,Rome,9.0,
2023-07-29,Rome,7.0,10.215
2023-07-30,Rome,9.0,14.3
2023-07-31,Rome,8.0,11.7
2023-08-01,Rome,6.5,13.5
2023-08-02,Rome,8.0,13.4
2023-08-03,Rome,7.0,20.950000000000003
2023-08-04,Rome,5.5,24.15
2023-08-05,Rome,8.5,
2023-08-06,Rome,6.5,22.5
2023-08-07,Rome,9.0,24.950000000000003
2023-08-08,Rome,8.5,24.5
2023-08-09,Rome,12.0,24.65
2023-08-10,Rome,9.0,27.75
2023-08-11,Rome,9.5,23.35
2023-08-12,Rome,7.5,19.95
2023-08-13,Rome,11.5,23.75
2023-08-14,Rome,11.5,17.4
2023-08-15,Rome,10.5,16.55
2023-08-16,Rome,,19.0
2023-08-17,Rome,,25.7
2023-08-18,Rome,,24.8
2023-08-19,Rome,13.0,19.1
2023-08-20,Rome,17.5,24.35
2023-08-21,Rome,21.0,29.200000000000003
2023-08-22,Rome,19.0,30.9
2023-08-23,Rome,19.0,33.7
2023-08-24,Rome,21.0,30.4
2023-08-25,Rome,16.0,26.0
2023-08-26,Rome,14.5,24.35
2023-08-27,Rome,9.0,15.100000000000001
2023-08-28,Rome,5.0,17.4
2023-08-29,Rome,8.0,27.25
2023-08-30,Rome,8.0,28.65
2023-08-31,Rome,4.5,28.75
2023-09-01,Rome,5.5,29.45
2023-09-02,Rome,7.0,25.25
2023-09-03,Rome,4.5,33.2
2023-09-04,Rome,6.0,26.450000000000003
2023-09-05,Rome,11.5,31.700000000000003
2023-09-06,Rome,11.5,38.85
2023-09-07,Rome,16.0,33.95
2023-09-08,Rome,19.5,36.650000000000006
2023-09-09,Rome,11.0,31.95
2023-09-10,Rome,16.0,41.75
2023-09-11,Rome,18.0,37.2
2023-09-12,Rome,15.5,40.650000000000006
2023-09-13,Rome,16.0,36.8
2023-09-14,Rome,13.5,28.450000000000003
2023-09-15,Rome,16.5,32.45
2023-09-16,Rome,10.0,30.75
2023-09-17,Rome,15.5,45.05
2023-09-18,Rome,13.5,31.2
2023-09-19,Rome,10.0,43.65
2023-09-20,Rome,10.0,34.0
2023-09-21,Rome,16.0,31.95
2023-09-22,Rome,1.0,25.0
2023-09-23,Rome,3.5,18.3
2023-09-24,Rome,5.0,22.85
2023-09-25,Rome,8.0,30.65
2023-09-26,Rome,12.5,37.25
2023-09-27,Rome,19.0,37.05
2023-09-28,Rome,16.5,43.45
2023-09-29,Rome,16.5,44.95
2023-09-30,Rome,18.5,38.2
2023-10-01,Rome,20.0,43.0
2023-10-02,Rome,15.5,41.7
2023-10-03,Rome,15.0,42.25
2023-10-04,Rome,12.5,37.1
2023-10-05,Rome,16.5,40.45
2023-10-06,Rome,17.5,39.1
2023-10-07,Rome,16.5,38.45
2023-10-08,Rome,15.5,43.849999999999994
2023-10-09,Rome,14.0,45.8
2023-10-10,Rome,13.0,48.95
2023-10-11,Rome,17.5,47.2
2023-10-12,Rome,17.5,47.349999999999994
2023-10-13,Rome,15.5,38.3
2023-10-14,Rome,8.5,30.45
2023-10-15,Rome,8.5,44.15
2023-10-16,Rome,6.0,30.25
2023-10-17,Rome,,44.4
2023-10-18,Rome,14.5,26.95
2023-10-19,Rome,16.0,27.5
2023-10-20,Rome,4.0,30.3
2023-10-21,Rome,6.0,38.5
2023-10-22,Rome,9.0,37.2
2023-10-23,Rome,14.5,37.150000000000006
2023-10-24,Rome,5.5,30.549999999999997
2023-10-25,Rome,7.5,28.6
2023-10-26,Rome,6.5,18.95
2023-10-27,Rome,8.0,24.95
2023-10-28,Rome,5.5,35.900000000000006
2023-10-29,Rome,8.5,25.9
2023-10-30,Rome,7.0,44.349999999999994
2023-10-31,Rome,6.0,35.400000000000006
2023-11-01,Rome,6.0,30.5
2023-11-02,Rome,4.5,17.5
2023-11-03,Rome,6.0,25.9
2023-11-04,Rome,6.5,13.315000000000001
2023-11-05,Rome,8.5,32.65
2023-11-06,Rome,11.5,45.4
2023-11-07,Rome,10.0,39.599999999999994
2023-11-08,Rome,11.0,37.95
2023-11-09,Rome,6.5,39.85
2023-11-10,Rome,9.0,39.849999999999994
2023-11-11,Rome,14.0,37.650000000000006
2023-11-12,Rome,12.0,38.05
2023-11-13,Rome,13.5,38.2
2023-11-14,Rome,12.5,32.75
2023-11-15,Rome,11.0,36.25
2023-11-16,Rome,9.0,37.8
2023-11-17,Rome,11.5,41.1
2023-11-18,Rome,20.5,42.7
2023-11-19,Rome,23.0,46.75
2023-11-20,Rome,7.5,29.25
2023-11-21,Rome,5.0,27.35
2023-11-22,Rome,8.0,32.55
2023-11-23,Rome,16.0,49.0
2023-11-24,Rome,11.5,32.5
2023-11-25,Rome,14.0,46.15
2023-11-26,Rome,13.5,51.349999999999994
2023-11-27,Rome,9.0,44.85
2023-11-28,Rome,17.0,51.15
2023-11-29,Rome,13.5,37.6
2023-11-30,Rome,10.0,27.8
2023-12-01,Rome,9.5,18.9
2023-12-02,Rome,9.5,26.7
2023-12-03,Rome,15.0,48.2
2023-12-04,Rome,12.0,48.4
2023-12-05,Rome,13.5,41.85
2023-12-06,Rome,16.5,44.85
2023-12-07,Rome,24.0,43.0
2023-12-08,Rome,23.0,53.95
2023-12-09,Rome,18.5,45.9
2023-12-10,Rome,22.0,51.900000000000006
2023-12-11,Rome,15.0,52.05
2023-12-12,Rome,9.0,32.3
2023-12-13,Rome,8.0,42.85
2023-12-14,Rome,6.0,32.8
2023-12-15,Rome,6.5,29.0
2023-12-16,Rome,11.0,43.9
2023-12-17,Rome,25.5,63.25
2023-12-18,Rome,36.0,67.75
2023-12-19,Rome,44.0,62.4
2023-12-20,Rome,43.0,57.6
2023-12-21,Rome,24.0,57.4
2023-12-22,Rome,25.0,42.8
2023-12-23,Rome,13.0,33.95
2023-12-24,Rome,12.0,31.45
2023-12-25,Rome,15.0,49.6
2023-12-26,Rome,17.0,60.4
2023-12-27,Rome,32.0,56.3
2023-12-28,Rome,32.5,64.55000000000001
2023-12-29,Rome,31.5,57.5
2023-12-30,Rome,34.0,47.0
